Minor Nm,Minor Dept,Minor Div,Minor Clg,Academic Yr,Ucb Level1 Ethnic Rollup Desc,Person Gender Desc,Entry Status Desc
Elec Eng & Computer Sci UG,Electrical Eng & Computer Sci,Clg of Engineering,Clg of Engineering,2015-16,Asian/Pacific Islander,Male,New Freshmen
Global Poverty & Prac UG,Interdisc Social Science Pgms,L&S Social Sciences Division,Clg of Letters & Science,2015-16,Underrepresented Minority,Female,New Freshmen
Computer Science UG,Electrical Eng & Computer Sci,Clg of Engineering,Clg of Engineering,2015-16,International,Female,New Freshmen
Forestry & Nat Resources UG,"Env Sci, Policy, & Mgmt",Clg of Natural Resources,Clg of Natural Resources,2015-16,Asian/Pacific Islander,Female,New Freshmen
Dance & Performance Stds UG,Theater Dance & Perf Stds,L&S Arts & Humanities Division,Clg of Letters & Science,2015-16,White/Other,Female,New Freshmen
Elec Eng & Computer Sci UG,Electrical Eng & Computer Sci,Clg of Engineering,Clg of Engineering,2015-16,Asian/Pacific Islander,Female,New Freshmen
Mathematics UG,Mathematics,L&S Math & Phys Sciences Div,Clg of Letters & Science,2015-16,Asian/Pacific Islander,Male,New Freshmen
Public Policy UG,Public Policy,Goldman School Public Policy,Goldman School Public Policy,2015-16,Asian/Pacific Islander,Female,New Freshmen
Education UG,Education,Grad School of Education,Grad School of Education,2015-16,Asian/Pacific Islander,Female,New Freshmen
Disability Studies UG,UG Interdisciplinary Studies,L&S Undergrad Studies Division,Clg of Letters & Science,2015-16,White/Other,Female,New Freshmen
Korean UG,East Asian Lang & Culture,L&S Arts & Humanities Division,Clg of Letters & Science,2015-16,Asian/Pacific Islander,Female,New Freshmen
Global Poverty & Prac UG,Interdisc Social Science Pgms,L&S Social Sciences Division,Clg of Letters & Science,2015-16,Underrepresented Minority,Male,New Freshmen
Japanese UG,East Asian Lang & Culture,L&S Arts & Humanities Division,Clg of Letters & Science,2015-16,Asian/Pacific Islander,Male,New Freshmen
Linguistics UG,Linguistics,L&S Social Sciences Division,Clg of Letters & Science,2015-16,White/Other,Female,New Freshmen
Education UG,Education,Grad School of Education,Grad School of Education,2015-16,Asian/Pacific Islander,Female,New Freshmen
Public Policy UG,Public Policy,Goldman School Public Policy,Goldman School Public Policy,2015-16,Underrepresented Minority,Male,New Freshmen
Nutritional Science UG,Nutritional Sciences & Tox,Clg of Natural Resources,Clg of Natural Resources,2015-16,White/Other,Female,New Freshmen
Industrial Eng & Op Rsch UG,Industrial Eng & Ops Research,Clg of Engineering,Clg of Engineering,2015-16,Asian/Pacific Islander,Male,New Freshmen
Conservation & Resrce St UG,"Env Sci, Policy, & Mgmt",Clg of Natural Resources,Clg of Natural Resources,2015-16,Asian/Pacific Islander,Male,New Freshmen
City & Regional Planning UG,City & Regional Planning,Clg of Environmental Design,Clg of Environmental Design,2015-16,White/Other,Female,New Freshmen
Music UG,Music,L&S Arts & Humanities Division,Clg of Letters & Science,2015-16,Asian/Pacific Islander,Male,New Freshmen
Global Poverty & Prac UG,Interdisc Social Science Pgms,L&S Social Sciences Division,Clg of Letters & Science,2015-16,Asian/Pacific Islander,Male,New Freshmen
Theater & Performance St UG,Theater Dance & Perf Stds,L&S Arts & Humanities Division,Clg of Letters & Science,2015-16,Asian/Pacific Islander,Female,New Freshmen
Geospatl Info Sci & Tech UG,"Env Sci, Policy, & Mgmt",Clg of Natural Resources,Clg of Natural Resources,2015-16,Asian/Pacific Islander,Female,New Freshmen
Spanish Linguistics UG,Spanish & Portuguese,L&S Arts & Humanities Division,Clg of Letters & Science,2015-16,Underrepresented Minority,Male,New Freshmen
History of Art UG,History of Art,L&S Arts & Humanities Division,Clg of Letters & Science,2015-16,Asian/Pacific Islander,Female,New Freshmen
Education UG,Education,Grad School of Education,Grad School of Education,2015-16,Asian/Pacific Islander,Female,New Freshmen
Public Policy UG,Public Policy,Goldman School Public Policy,Goldman School Public Policy,2015-16,White/Other,Female,New Freshmen
Public Policy UG,Public Policy,Goldman School Public Policy,Goldman School Public Policy,2015-16,Asian/Pacific Islander,Male,New Freshmen
Global Poverty & Prac UG,Interdisc Social Science Pgms,L&S Social Sciences Division,Clg of Letters & Science,2015-16,Asian/Pacific Islander,Female,New Freshmen
Music UG,Music,L&S Arts & Humanities Division,Clg of Letters & Science,2015-16,Asian/Pacific Islander,Female,New Freshmen
Disability Studies UG,UG Interdisciplinary Studies,L&S Undergrad Studies Division,Clg of Letters & Science,2015-16,Asian/Pacific Islander,Female,New Freshmen
Asian Am/Asn Diaspora St UG,Ethnic Studies,L&S Social Sciences Division,Clg of Letters & Science,2015-16,Asian/Pacific Islander,Female,New Freshmen
Demography UG,Demography,L&S Social Sciences Division,Clg of Letters & Science,2015-16,Asian/Pacific Islander,Female,New Freshmen
Public Policy UG,Public Policy,Goldman School Public Policy,Goldman School Public Policy,2015-16,White/Other,Male,New Freshmen
Disability Studies UG,UG Interdisciplinary Studies,L&S Undergrad Studies Division,Clg of Letters & Science,2015-16,Asian/Pacific Islander,Female,New Freshmen
Conservation & Resrce St UG,"Env Sci, Policy, & Mgmt",Clg of Natural Resources,Clg of Natural Resources,2015-16,Underrepresented Minority,Female,New Freshmen
Asian Am/Asn Diaspora St UG,Ethnic Studies,L&S Social Sciences Division,Clg of Letters & Science,2015-16,International,Female,New Freshmen
Geospatl Info Sci & Tech UG,"Env Sci, Policy, & Mgmt",Clg of Natural Resources,Clg of Natural Resources,2015-16,Asian/Pacific Islander,Female,New Freshmen
Global Poverty & Prac UG,Interdisc Social Science Pgms,L&S Social Sciences Division,Clg of Letters & Science,2015-16,International,Female,New Freshmen
Education UG,Education,Grad School of Education,Grad School of Education,2015-16,Underrepresented Minority,Male,New Freshmen
Music UG,Music,L&S Arts & Humanities Division,Clg of Letters & Science,2015-16,Asian/Pacific Islander,Male,New Freshmen
Global Poverty & Prac UG,Interdisc Social Science Pgms,L&S Social Sciences Division,Clg of Letters & Science,2015-16,Asian/Pacific Islander,Female,New Freshmen
French UG,French,L&S Arts & Humanities Division,Clg of Letters & Science,2015-16,White/Other,Female,New Freshmen
Spanish Language & Lit UG,Spanish & Portuguese,L&S Arts & Humanities Division,Clg of Letters & Science,2015-16,White/Other,Female,New Freshmen
Public Policy UG,Public Policy,Goldman School Public Policy,Goldman School Public Policy,2015-16,Underrepresented Minority,Female,New Freshmen
Education UG,Education,Grad School of Education,Grad School of Education,2015-16,White/Other,Female,New Freshmen
Public Policy UG,Public Policy,Goldman School Public Policy,Goldman School Public Policy,2015-16,White/Other,Female,New Freshmen
Education UG,Education,Grad School of Education,Grad School of Education,2015-16,Underrepresented Minority,Female,New Freshmen
Peace & Conflict Studies UG,Interdisc Social Science Pgms,L&S Social Sciences Division,Clg of Letters & Science,2015-16,White/Other,Female,New Freshmen
English UG,English,L&S Arts & Humanities Division,Clg of Letters & Science,2015-16,White/Other,Male,New Freshmen
Elec Eng & Computer Sci UG,Electrical Eng & Computer Sci,Clg of Engineering,Clg of Engineering,2015-16,White/Other,Male,New Freshmen
Geospatl Info Sci & Tech UG,"Env Sci, Policy, & Mgmt",Clg of Natural Resources,Clg of Natural Resources,2015-16,Asian/Pacific Islander,Female,New Freshmen
Music UG,Music,L&S Arts & Humanities Division,Clg of Letters & Science,2015-16,White/Other,Male,New Freshmen
Spanish Language & Lit UG,Spanish & Portuguese,L&S Arts & Humanities Division,Clg of Letters & Science,2015-16,Asian/Pacific Islander,Female,New Freshmen
Education UG,Education,Grad School of Education,Grad School of Education,2015-16,Asian/Pacific Islander,Female,New Freshmen
Anthropology UG,Anthropology,L&S Social Sciences Division,Clg of Letters & Science,2015-16,Asian/Pacific Islander,Male,New Freshmen
Native American Studies UG,Ethnic Studies,L&S Social Sciences Division,Clg of Letters & Science,2015-16,Asian/Pacific Islander,Male,New Freshmen
Global Poverty & Prac UG,Interdisc Social Science Pgms,L&S Social Sciences Division,Clg of Letters & Science,2015-16,Underrepresented Minority,Female,New Freshmen
Celtic Studies UG,Scandinavian,L&S Arts & Humanities Division,Clg of Letters & Science,2015-16,Underrepresented Minority,Female,New Freshmen
History UG,History,L&S Social Sciences Division,Clg of Letters & Science,2015-16,White/Other,Female,New Freshmen
Jewish Studies UG,Jewish Studies Program,L&S Arts & Humanities Division,Clg of Letters & Science,2015-16,White/Other,Male,New Freshmen
African American Studies UG,African American Studies,L&S Social Sciences Division,Clg of Letters & Science,2015-16,Underrepresented Minority,Female,New Freshmen
City & Regional Planning UG,City & Regional Planning,Clg of Environmental Design,Clg of Environmental Design,2015-16,Asian/Pacific Islander,Male,New Freshmen
Sustainable Design UG,Landscape Arch & Env Plan,Clg of Environmental Design,Clg of Environmental Design,2015-16,Underrepresented Minority,Male,New Freshmen
Religious Studies UG,UG Interdisciplinary Studies,L&S Undergrad Studies Division,Clg of Letters & Science,2015-16,White/Other,Female,New Freshmen
City & Regional Planning UG,City & Regional Planning,Clg of Environmental Design,Clg of Environmental Design,2015-16,White/Other,Male,Advanced Standing
French UG,French,L&S Arts & Humanities Division,Clg of Letters & Science,2015-16,White/Other,Female,New Freshmen
Art UG,Art Practice,L&S Arts & Humanities Division,Clg of Letters & Science,2015-16,Asian/Pacific Islander,Male,New Freshmen
Creative Writing UG,UG Interdisciplinary Studies,L&S Undergrad Studies Division,Clg of Letters & Science,2015-16,Asian/Pacific Islander,Female,New Freshmen
Asian Am/Asn Diaspora St UG,Ethnic Studies,L&S Social Sciences Division,Clg of Letters & Science,2015-16,Asian/Pacific Islander,Female,New Freshmen
Education UG,Education,Grad School of Education,Grad School of Education,2015-16,Asian/Pacific Islander,Female,New Freshmen
Toxicology UG,Nutritional Sciences & Tox,Clg of Natural Resources,Clg of Natural Resources,2015-16,Underrepresented Minority,Female,New Freshmen
Disability Studies UG,UG Interdisciplinary Studies,L&S Undergrad Studies Division,Clg of Letters & Science,2015-16,White/Other,Female,New Freshmen
Education UG,Education,Grad School of Education,Grad School of Education,2015-16,Underrepresented Minority,Male,New Freshmen
Korean UG,East Asian Lang & Culture,L&S Arts & Humanities Division,Clg of Letters & Science,2015-16,Asian/Pacific Islander,Female,New Freshmen
Music UG,Music,L&S Arts & Humanities Division,Clg of Letters & Science,2015-16,Asian/Pacific Islander,Female,New Freshmen
Elec Eng & Computer Sci UG,Electrical Eng & Computer Sci,Clg of Engineering,Clg of Engineering,2015-16,Asian/Pacific Islander,Male,New Freshmen
Computer Science UG,Electrical Eng & Computer Sci,Clg of Engineering,Clg of Engineering,2015-16,Asian/Pacific Islander,Male,New Freshmen
Public Policy UG,Public Policy,Goldman School Public Policy,Goldman School Public Policy,2015-16,Underrepresented Minority,Female,New Freshmen
Dance & Performance Stds UG,Theater Dance & Perf Stds,L&S Arts & Humanities Division,Clg of Letters & Science,2015-16,Asian/Pacific Islander,Male,New Freshmen
Nuclear Engineering UG,Nuclear Engineering,Clg of Engineering,Clg of Engineering,2015-16,White/Other,Male,New Freshmen
Public Policy UG,Public Policy,Goldman School Public Policy,Goldman School Public Policy,2015-16,White/Other,Male,New Freshmen
Global Poverty & Prac UG,Interdisc Social Science Pgms,L&S Social Sciences Division,Clg of Letters & Science,2015-16,Asian/Pacific Islander,Female,New Freshmen
Creative Writing UG,UG Interdisciplinary Studies,L&S Undergrad Studies Division,Clg of Letters & Science,2015-16,White/Other,Male,New Freshmen
Mechanical Engineering UG,Mechanical Engineering,Clg of Engineering,Clg of Engineering,2015-16,Asian/Pacific Islander,Female,New Freshmen
Education UG,Education,Grad School of Education,Grad School of Education,2015-16,International,Female,New Freshmen
History UG,History,L&S Social Sciences Division,Clg of Letters & Science,2015-16,Asian/Pacific Islander,Male,New Freshmen
Conservation & Resrce St UG,"Env Sci, Policy, & Mgmt",Clg of Natural Resources,Clg of Natural Resources,2015-16,Underrepresented Minority,Female,New Freshmen
Public Policy UG,Public Policy,Goldman School Public Policy,Goldman School Public Policy,2015-16,Underrepresented Minority,Female,New Freshmen
Bioengineering UG,Bioengineering,Clg of Engineering,Clg of Engineering,2015-16,Asian/Pacific Islander,Female,New Freshmen
Public Policy UG,Public Policy,Goldman School Public Policy,Goldman School Public Policy,2015-16,Asian/Pacific Islander,Female,New Freshmen
Forestry & Nat Resources UG,"Env Sci, Policy, & Mgmt",Clg of Natural Resources,Clg of Natural Resources,2015-16,White/Other,Male,New Freshmen
Geospatl Info Sci & Tech UG,"Env Sci, Policy, & Mgmt",Clg of Natural Resources,Clg of Natural Resources,2015-16,White/Other,Male,New Freshmen
Computer Science UG,Electrical Eng & Computer Sci,Clg of Engineering,Clg of Engineering,2015-16,Asian/Pacific Islander,Female,New Freshmen
South & SE Asian Studies UG,South & SE Asian Studies,L&S Arts & Humanities Division,Clg of Letters & Science,2015-16,Asian/Pacific Islander,Female,New Freshmen
Disability Studies UG,UG Interdisciplinary Studies,L&S Undergrad Studies Division,Clg of Letters & Science,2015-16,Asian/Pacific Islander,Male,New Freshmen
Global Poverty & Prac UG,Interdisc Social Science Pgms,L&S Social Sciences Division,Clg of Letters & Science,2015-16,Asian/Pacific Islander,Female,New Freshmen
Cal Teach Sci & Math Edu UG,Education,Grad School of Education,Grad School of Education,2015-16,Asian/Pacific Islander,Female,New Freshmen
Geography UG,Geography,L&S Social Sciences Division,Clg of Letters & Science,2015-16,Asian/Pacific Islander,Female,New Freshmen
Spanish Linguistics UG,Spanish & Portuguese,L&S Arts & Humanities Division,Clg of Letters & Science,2015-16,White/Other,Male,New Freshmen
French UG,French,L&S Arts & Humanities Division,Clg of Letters & Science,2015-16,White/Other,Female,New Freshmen
Geospatl Info Sci & Tech UG,"Env Sci, Policy, & Mgmt",Clg of Natural Resources,Clg of Natural Resources,2015-16,Asian/Pacific Islander,Male,New Freshmen
Global Poverty & Prac UG,Interdisc Social Science Pgms,L&S Social Sciences Division,Clg of Letters & Science,2015-16,Asian/Pacific Islander,Male,New Freshmen
Geospatl Info Sci & Tech UG,"Env Sci, Policy, & Mgmt",Clg of Natural Resources,Clg of Natural Resources,2015-16,Asian/Pacific Islander,Male,New Freshmen
Public Policy UG,Public Policy,Goldman School Public Policy,Goldman School Public Policy,2015-16,Asian/Pacific Islander,Female,New Freshmen
Creative Writing UG,UG Interdisciplinary Studies,L&S Undergrad Studies Division,Clg of Letters & Science,2015-16,Asian/Pacific Islander,Female,New Freshmen
City & Regional Planning UG,City & Regional Planning,Clg of Environmental Design,Clg of Environmental Design,2015-16,White/Other,Female,New Freshmen
Spanish Language & Lit UG,Spanish & Portuguese,L&S Arts & Humanities Division,Clg of Letters & Science,2015-16,White/Other,Female,New Freshmen
